ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at
"222.129.38.147","elite","N/A","CN","N/A","153","N/A","57114","socks4","N/A","5001","2021-12-17T06:13:38.024Z"
"220.196.62.34","elite","N/A","CN","N/A","166","N/A","5678","socks4","N/A","5003","2021-12-17T06:13:32.578Z"
"220.196.56.47","elite","N/A","CN","N/A","153","N/A","1080","socks4","N/A","302","2021-12-17T06:13:25.317Z"
"218.19.140.51","elite","N/A","CN","N/A","180","N/A","5678","socks4","N/A","N/A","2021-12-17T06:13:22.772Z"
"217.197.252.154","elite","N/A","RU","N/A","214","N/A","4145","socks4","N/A","424","2021-12-17T06:13:20.305Z"
"193.70.73.115","elite","N/A","FR","N/A","142","N/A","13288","socks4","N/A","288","2021-12-17T06:13:17.574Z"
"216.169.73.65","elite","N/A","US","N/A","37","N/A","60221","socks4","N/A","N/A","2021-12-17T06:13:15.048Z"
"213.81.129.238","elite","N/A","SK","N/A","N/A","N/A","14888","socks4","N/A","5002","2021-12-17T06:13:12.865Z"
"109.238.219.225","elite","N/A","CZ","N/A","171","N/A","4153","socks4","N/A","N/A","2021-12-17T06:12:55.756Z"
"213.74.58.52","elite","N/A","TR","N/A","210","N/A","5678","socks4","N/A","N/A","2021-12-17T06:12:53.323Z"
"95.80.182.76","elite","N/A","IR","N/A","235","N/A","5678","socks4","N/A","N/A","2021-12-17T06:12:50.723Z"
"109.233.212.105","elite","N/A","RU","N/A","222","N/A","4145","socks4","N/A","N/A","2021-12-17T06:12:48.673Z"
"95.31.119.210","elite","N/A","RU","N/A","N/A","N/A","47930","socks4","N/A","645","2021-12-17T06:12:46.073Z"
"192.111.129.150","elite","N/A","US","N/A","98","N/A","4145","socks4","N/A","5003","2021-12-17T06:12:33.632Z"
"109.224.55.18","elite","N/A","IQ","N/A","264","N/A","5678","socks4","N/A","N/A","2021-12-17T06:12:28.213Z"
"213.219.210.181","elite","N/A","RU","N/A","217","N/A","4145","socks4","N/A","5002","2021-12-17T06:12:25.597Z"
"193.105.62.11","elite","N/A","UA","N/A","187","N/A","58973","socks4","N/A","370","2021-12-17T06:12:18.275Z"
"95.165.163.188","elite","N/A","RU","N/A","182","N/A","36496","socks4","N/A","369","2021-12-17T06:12:15.621Z"
"220.168.52.245","elite","N/A","CN","N/A","208","N/A","43717","socks4","N/A","5001","2021-12-17T06:12:12.970Z"
"191.100.26.195","elite","N/A","EC","N/A","125","N/A","5678","socks4","N/A","N/A","2021-12-17T06:12:05.631Z"
"109.122.81.9","elite","N/A","RS","N/A","182","N/A","57553","socks4","N/A","N/A","2021-12-17T06:12:03.247Z"
"192.252.215.5","elite","N/A","US","N/A","97","N/A","16137","socks4","N/A","5002","2021-12-17T06:12:01.390Z"
"94.154.200.2","elite","N/A","UA","N/A","174","N/A","5678","socks4","N/A","N/A","2021-12-17T06:11:54.987Z"
"218.86.87.171","elite","N/A","CN","N/A","184","N/A","42086","socks4","N/A","5001","2021-12-17T06:11:52.523Z"
"219.83.12.177","elite","N/A","ID","N/A","198","N/A","5678","socks4","N/A","5001","2021-12-17T06:11:46.845Z"
"190.205.42.46","elite","N/A","VE","N/A","165","N/A","1080","socks4","N/A","331","2021-12-17T06:11:40.139Z"
"103.95.40.21","elite","N/A","ID","N/A","186","N/A","4145","socks4","N/A","N/A","2021-12-17T06:11:37.546Z"
"94.23.83.149","elite","N/A","ES","N/A","150","N/A","4153","socks4","N/A","420","2021-12-17T06:11:36.642Z"
"94.141.4.66","elite","N/A","IT","N/A","N/A","N/A","5678","socks4","N/A","5002","2021-12-17T06:11:35.649Z"
"218.75.69.50","elite","N/A","CN","N/A","154","N/A","56430","socks4","N/A","5001","2021-12-17T06:11:20.190Z"
"218.26.101.226","elite","N/A","CN","N/A","168","N/A","53813","socks4","N/A","5000","2021-12-17T06:11:12.928Z"
"213.16.81.147","elite","N/A","HU","N/A","184","N/A","5678","socks4","N/A","N/A","2021-12-17T06:11:05.641Z"
"193.193.240.36","elite","N/A","KZ","N/A","280","N/A","48785","socks4","N/A","N/A","2021-12-17T06:11:03.071Z"
"190.180.35.146","elite","N/A","BO","N/A","167","N/A","5678","socks4","N/A","N/A","2021-12-17T06:11:01.408Z"
"94.198.213.252","elite","N/A","IT","N/A","155","N/A","5678","socks4","N/A","N/A","2021-12-17T06:10:46.475Z"
"192.162.154.19","elite","N/A","UA","N/A","193","N/A","5678","socks4","N/A","395","2021-12-17T06:10:44.049Z"
"93.171.224.41","elite","N/A","RU","N/A","186","N/A","4153","socks4","N/A","N/A","2021-12-17T06:10:41.259Z"
"218.28.132.182","elite","N/A","CN","N/A","157","N/A","33339","socks4","N/A","325","2021-12-17T06:10:38.774Z"
"217.73.95.3","elite","N/A","UA","N/A","187","N/A","5678","socks4","N/A","380","2021-12-17T06:10:36.156Z"
"98.188.47.132","elite","N/A","US","N/A","115","N/A","4145","socks4","N/A","5001","2021-12-17T06:10:33.445Z"
"192.252.208.67","elite","N/A","US","N/A","95","N/A","14287","socks4","N/A","5002","2021-12-17T06:10:27.033Z"
"212.5.159.2","elite","N/A","BG","N/A","209","N/A","10801","socks4","N/A","N/A","2021-12-17T06:10:27.961Z"
"190.146.60.76","elite","N/A","CO","N/A","134","N/A","5678","socks4","N/A","N/A","2021-12-17T06:10:21.626Z"
"103.90.231.93","elite","N/A","VN","N/A","207","N/A","40102","socks4","N/A","439","2021-12-17T06:10:19.276Z"
"94.181.174.77","elite","N/A","RU","N/A","213","N/A","4153","socks4","N/A","N/A","2021-12-17T06:10:16.540Z"
"93.105.171.133","elite","N/A","PL","N/A","181","N/A","4153","socks4","N/A","N/A","2021-12-17T06:10:14.011Z"
"218.108.31.28","elite","N/A","CN","N/A","184","N/A","4145","socks4","N/A","375","2021-12-17T06:10:11.550Z"
"217.218.242.75","elite","N/A","IR","N/A","230","N/A","5678","socks4","N/A","5001","2021-12-17T06:10:08.886Z"
"192.140.42.83","elite","N/A","BR","N/A","220","N/A","59057","socks4","N/A","5000","2021-12-17T06:10:01.420Z"
"95.213.230.136","elite","N/A","RU","N/A","441","N/A","59341","socks4","N/A","N/A","2021-12-17T06:09:54.069Z"
