address,rank,holding_eth,inr_value,dollar_val
0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,1,535345300.865027,"₹11,56,97,75,57,32,347.90",1550809681357.845
0x55faf0e5e6e532b1c5799bdeec1a0f193e54a92d,5,50820015.09135557,"₹1,09,83,12,00,21,513.58",147217452517.24246
0xa99a76dddbb9678bc33f39919bc76d279c680c89,7,39483536.36025669,"₹85,33,10,29,11,105.96",114377487469.846
0x69c488bcda156379b6661f08a35db627e5d467dd,8,35623396.08027905,"₹76,98,85,71,14,077.75",103195278701.19557
0x2e675eeae4747c248bfddbafaa3a8a2fdddaa44b,9,33498619.914606187,"₹72,39,65,47,38,704.86",97040142113.4278
0x0f0eae91990140c560d4156db4f00c854dc8f09e,14,25052121.99419865,"₹54,14,21,45,01,142.22",72571989077.67442
0x020ca66c30bec2c4fe3861a94e4db4a498a35872,18,19339083.736559026,"₹41,79,52,40,98,977.66",56022231331.41365
0xe301612b0751f6d862a27be205fb8e3c40c8c6db,21,18301154.81194136,"₹39,55,20,89,75,647.14",53015517305.42421
0x7eb413211a9de1cd2fe8b8bb6055636c43f7d206,25,15708444.377729237,"₹33,94,87,75,82,026.09",45504850011.18117
0xf1ddb5dacc5a916842aae0a6fbe59c36f97bd940,26,15658914.9536006,"₹33,84,17,33,81,942.25",45361371194.18836
0xce90a7949bb78892f159f428d0dc23a8e3584d75,27,15420253.648441365,"₹33,32,59,43,77,993.85",44670007578.95089
0x1f4a3a9eb3f26b48ef4cdd46f57016324e3ba0ea,28,14841542.324258137,"₹32,07,52,44,44,034.02",42993573466.60394
0x505d79c7379ee65b6c2d6d18a0e7ab901b00756c,29,13807995.511148341,"₹29,84,15,63,73,878.36",39999553716.51496
0x716eb921f3b346d2c5749b5380dc740d359055d7,30,12442201.50839372,"₹26,88,98,37,05,591.03",36043067017.575264
0x54a973a5da508d551edf9ee50842e7c36faa1d87,31,12273121.065937266,"₹26,52,44,23,78,528.23",35553268028.64971
0xe052113bd7d7700d623414a0a4585bcae754e9d5,36,11006645.234994803,"₹23,78,73,41,54,896.61",31884490182.542347
0x4c1194386e121566b79d1f1dac9ef282348f04f3,37,10316278.57061043,"₹22,29,53,34,92,123.18",29884608414.48712
0xb76a622c7fadbe11c415d141fd7b9eb4b1f414b9,38,10276889.072067596,"₹22,21,02,07,12,477.10",29770503339.528297
0x6ec30fd91a504aad948839b985c7263888b2ad68,40,9965262.185499163,"₹21,53,67,25,33,005.71",28867770109.4414
0xf605c6c3caa1606afad60cfef1d37f76721640d7,41,9660571.705116918,"₹20,87,82,34,35,766.46",27985130538.250896
0x0a8f4037729accb854da856431a87b8a264d8c40,44,9551120.898586463,"₹20,64,16,91,46,360.71",27668069063.86121
0xb3ee5011a7965905cde351ea4905ff4725189a3b,45,9461067.934883842,"₹20,44,70,70,79,951.23",27407200036.48891
0xb0dafc466871c29662e5cbf4227322c96a8ccbe9,46,9446538.373817485,"₹20,41,56,69,80,272.69",27365110222.809444
0x052564eb0fd8b340803df55def89c25c432f43f4,48,9352865.52625651,"₹20,21,32,25,91,803.50",27093754971.080906
0x56178626332fc530561535eeaa914b863aa455f2,49,9079093.499486012,"₹19,62,15,55,28,921.92",26300681213.05106
0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,50,9011541.192511672,"₹19,47,55,62,59,443.24",26104992988.115513
0x50664ede715e131f584d3e7eaabd7818bb20a068,51,8988851.941809928,"₹19,42,65,27,03,960.08",26039265859.112675
0xf4b4a58974524e183c275f3c6ea895bc2368e738,54,8812251.813815963,"₹19,04,48,62,37,498.28",25527683544.334633
0x7b8961f67382c51c389726667ef7dd7cf95fefd3,55,8765492.194387386,"₹18,94,38,06,42,066.61",25392228408.389156
0xd761146b10fc5c14fbfbd04801abbd4dcf758fa2,56,8764389.329817567,"₹18,94,14,22,93,181.51",25389033586.18872
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,57,8740958.00835028,"₹18,89,07,83,62,848.65",25321156796.909424
0x6639c089adfba8bb9968da643c6be208a70d6daa,58,8583710.387528991,"₹18,55,09,43,21,531.99",24865635599.009483
0x21faa7406de0e6f99c313375b4e0dcad3ea38e2a,59,8294287.48104533,"₹17,92,54,48,21,828.55",24027223746.591354
0xc803698a4be31f0b9035b6eba17623698f3e2f82,60,8257172.337644473,"₹17,84,52,35,71,267.05",23919707114.582016
0x7a9fe22691c811ea339d9b73150e6911a5343dca,61,8211622.634949157,"₹17,74,67,94,60,619.94",23787756913.82612
0x896848ad1a2094b874daf951d249ce0115afb6bf,63,7829782.698499357,"₹16,92,15,69,77,234.28",22681627712.32088
0x80845058350b8c3df5c3015d8a717d64b3bf9267,64,7736733.335948603,"₹16,72,04,73,35,098.54",22412078596.90935
0x6341ce65a3171bec75bf6eba33eeea4a9ba59737,66,7493412.47537107,"₹16,19,46,13,17,352.24",21707216995.15393
0xd6a984153acb6c9e2d788f08c2465a1358bb89a7,67,7349694.165347167,"₹15,88,40,12,03,626.50",21290888045.94429
0xdf37ac79f8e9b698c4ab57d30a41e7f272331391,69,7246686.095560441,"₹15,66,13,93,05,600.33",20992490149.06331
0x6491bce963fcae210b7c843c4829202dc2479c03,70,6954244.006491996,"₹15,02,93,73,06,195.04",20145332207.766277
0x6c0cf880cb20eefabfb09341fba9e2bd29ad3dfa,71,6906341.6254405305,"₹14,92,58,47,39,406.96",20006566674.241146
0xb32b4350c25141e779d392c1dbe857b62b60b4c9,72,6811744.291217475,"₹14,72,14,05,52,729.34",19732533332.57043
0xec90215396fd13d3e847901580f4085ca097526c,73,6801248.069185277,"₹14,69,87,21,30,216.18",19702127456.73868
0x32dd0756316b31d731aa6ae0f60b9b560e0ed92c,75,6749694.994730645,"₹14,58,73,05,82,871.20",19552786448.535522
0xff3879b8a363aed92a6eaba8f61f1a96a9ec3c1e,76,6724303.416270956,"₹14,53,24,30,05,717.65",19479231108.390358
0x0845fc89c51b2bcd1c3b0db9dbca497d641ec7d3,77,6724153.640840623,"₹14,53,21,06,36,551.19",19478797232.93275
0x83e551e48158136df20eaf9554a669a2dba574ba,80,6403007.862307895,"₹13,83,80,52,53,186.26",18548489295.848003
0x9df947cd8a9810964473339c38a95201ecbe112d,81,6332412.461486607,"₹13,68,54,83,16,351.56",18343985714.93286
0x31a47094c6325d357c7331c621d6768ba041916e,82,6243984.705926798,"₹13,49,43,74,86,675.49",18087824655.516987
0xb70c1a3242e363b4772b83acdc10df94e6c3fb02,83,6177351.629110966,"₹13,35,03,68,79,380.20",17894799293.27381
0x32b8bfad45b330b81899df23ff6aac609781ce56,84,6066558.18215794,"₹13,11,09,24,21,211.61",17573848404.40241
0x702a39a9d7d84c6b269efaa024dff4037499bba9,85,6065704.5226828195,"₹13,10,90,79,30,033.17",17571375489.4885
0x024bcbcaad82e67f721799e259ca60bc7d363419,86,6007298.75212943,"₹12,98,28,53,91,712.71",17402183317.118618
0x9c5083dd4838e120dbeac44c052179692aa5dac5,87,5963389.764998972,"₹12,88,79,58,69,232.05",17274986006.839622
0xc2baa32b57a91b81d35ef3052319873bbd16cd12,88,5948516.911925334,"₹12,85,58,15,77,971.48",17231901731.141785
0x5f5140a6b5821bd505ea4d92b4cd62136a1e24f6,89,5946061.748360432,"₹12,85,05,09,72,932.16",17224789515.120434
0xb4af0a1ba9e4a0f1457c3009a8f9345cd9ec407b,90,5898354.5689543225,"₹12,74,74,05,92,733.27",17086589449.52964
0xf6764f702650eb66b2bd7368e2fef7133a8f4f80,91,5898310.80419521,"₹12,74,73,11,34,381.06",17086462670.024855
0x7811c6a535ddff8f86bfdeade882e744bc9fe380,92,5844980.503422821,"₹12,63,20,54,96,438.73",16931973321.535366
0xff4c60814adc5ee4cdf9a57e0944b1e4678ff09c,93,5802372.114906628,"₹12,53,99,70,56,729.39",16808543637.346117
0xea21f098cf953db2a237a5c3bf783f9a8a63712f,94,5742298.779845071,"₹12,41,01,41,27,702.56",16634520797.406397
0xd75233704795206de38cc58b77a1f660b5c60896,96,5703904.7601823,"₹12,32,71,64,88,961.08",16523299465.486494
0x50dd57f50a17d57304e7a4f262da30beb31c2e87,97,5668249.321852007,"₹12,25,01,07,06,940.01",16420011365.51377
0x8ffa85a0c59cf23967eb31c060b2ca3a920276e1,98,5586706.098187898,"₹12,07,38,77,48,528.17",16183793693.474632
0xf3bfe0bb0dab720ea251dde573fe1d16c9145e1e,99,5582246.060665947,"₹12,06,42,38,54,139.00",16170873678.379543
0xb84b9c91357b0029658064989007a6654868c47f,101,5388090.136087395,"₹11,64,46,32,64,030.94",15608435029.82341
0xf36972bbff0bb63dbc8f2c8a93625647b32e024b,102,5367498.54424584,"₹11,60,01,30,50,385.32",15548784482.91312
0x84abb6c94713d77970b7dcc3143412585ba6c4d9,103,5364050.284485477,"₹11,59,26,78,19,382.43",15538795426.10891
0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,104,5321946.027209202,"₹11,50,16,83,31,508.40",15416826129.460705
0x851ce1b1e0ca5294ddc049920816b507512f623c,106,5225907.843830123,"₹11,29,41,27,51,392.88",15138618878.320852
0x86292f24afffe8d4159282980db89e8ef4b92b0a,107,5211477.857428516,"₹11,26,29,41,71,591.74",15096817516.513224
0x3612b2e93b49f6c797066ca8c38b7f522b32c7cb,108,5188873.382245077,"₹11,21,40,89,37,624.04",15031335968.62283
0x815e9e1d43832cecacbe23ad69d1664d9da12d37,109,5170587.12765291,"₹11,17,45,69,48,854.09",14978363614.870056
0x4be52934b8464b887a2ff04aa02fa1a3fb9584a5,110,5133455.443544646,"₹11,09,43,21,23,547.98",14870799067.077873
0xbd4fd6759d77e3a3bcd4d838adbe41fd38829d8a,111,5117838.230478799,"₹11,06,05,69,62,694.62",14825558499.580204
0x61d9d9cc8c3203dab7100ea79ced77587201c990,112,5083966.446517153,"₹10,98,73,66,60,488.39",14727437360.92875
0x762ec7ca4658e76002447b0a29e1f44f575dbebc,113,5068079.621982119,"₹10,95,30,32,31,743.53",14681415772.142683
0x9df6a358688ccdc2a955568a05aacac7a998a319,114,5020412.27469644,"₹10,85,00,14,59,982.85",14543331093.831636
0x362b638b43f767350ac0a01b67baad825c108f3d,115,4977951.012333653,"₹10,75,82,48,16,883.52",14420327610.56862
0x5382859146010ac16e142b6708f8e178e77f66bc,116,4823996.02138094,"₹10,42,55,23,72,148.81",13974344634.577164
0x9769334fc882775f4951865aa473481880669d47,117,4816655.2408933295,"₹10,40,96,58,97,351.38",13953079568.029434
0xe4bbcbff51e61d0d95fcc5016609ac8354b177c4,118,4810284.519863592,"₹10,39,58,90,69,863.88",13934624608.52165
0x066317b90509069eb52474a38c212508f8a1211c,119,4804416.2629564395,"₹10,38,32,08,33,917.62",13917625207.182734
0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,120,4760718.655673014,"₹10,28,87,69,94,426.74",13791040230.499815
0x9e427ebcca41cd9423516e0c19769ca1a1f2fc25,121,4756149.647857774,"₹10,27,88,95,49,595.73",13777804545.900314
0xf52393e120f918ffba50410b90a29b1f8250c879,123,4733029.222522822,"₹10,22,89,28,09,513.19",13710828372.973013
0x3ba53cea97bfff5a303ffc66dc4f390383bcd62e,124,4679576.158787925,"₹10,11,34,06,40,284.93",13555983399.823214
0x2079c29be9c8095042edb95f293b5b510203d6ce,125,4665528.610735676,"₹10,08,30,47,12,294.97",13515289900.723537
0x2b941072f0cc2ad3189b6e65bf5984faeb754f5d,126,4586153.091297825,"₹9,91,15,02,33,785.10",13285351720.995192
0x1dbd23376015a8a624e5a9ad8040a3159eae7a12,127,4583172.640282184,"₹9,90,50,61,04,672.50",13276717831.275042
0xffa914c83d851b9fe372e4ba6a6e131373aa16ab,128,4545713.285579584,"₹9,82,41,04,63,852.89",13168204074.198362
0xd7301f48c9924a566ee2906f1b7ed28ff3a36c3f,129,4519714.4877771465,"₹9,76,79,16,55,669.42",13092889716.77235
0xeee5eb24e7a0ea53b75a1b9ad72e7d20562f4283,130,4496538.848913516,"₹9,71,78,29,82,949.49",13025753599.08663
0xed47015bb8080b9399f9d0ddfc427b9cee2caab1,133,4453790.385570554,"₹9,62,54,42,70,548.74",12901918140.536205
0xf2ef5636b38ecf46324ac97957a514beda674d7d,134,4446419.39090803,"₹9,60,95,12,65,924.26",12880565548.358017
0x91338ccfb8c0adb7756034a82008531d7713009d,135,4427970.896233313,"₹9,56,96,42,14,152.15",12827123211.04451
0x76fb2ebe429514ee4985a3ded3d9c6c34e963dad,136,4378994.220489252,"₹9,46,37,94,72,943.70",12685245617.682087
0x7cd3fc0e4ef95897f9b8db951dfc075cc924ebbe,137,4366337.00061715,"₹9,43,64,40,19,899.38",12648579676.867786
0x994f16b760e5549bda0e8c9adab0809552452e76,139,4346110.882879573,"₹9,39,27,27,91,786.17",12589987849.960863
0xeae448e1537aa3c6b2a37e2ab26bba7ca2de9436,140,4343345.974864991,"₹9,38,67,52,45,395.87",12581978353.827902
0x51636d9efbfb79631824dd6107d54f2dcf548359,144,4272042.496267891,"₹9,23,26,52,80,208.42",12375423584.888678
0xab6ca2017548a170699890214bfd66583a0c1754,145,4232888.510762879,"₹9,14,80,33,99,169.05",12262000753.518337
0xebeaa2cfda253b0df33a10eaf58a399d0d00a781,147,4217341.33940724,"₹9,11,44,33,75,590.01",12216963085.64847
0x208b82b04449cd51803fae4b1561450ba13d9510,148,4213582.661581795,"₹9,10,63,10,57,655.73",12206074797.376606
0xc585d35fb8c9d136d6443a30fd88ccbb5f4cb86d,149,4191716.2965172855,"₹9,05,90,53,42,570.72",12142731436.403133
0x739e2c99f019cc1de501460db50cb54b9f7835a1,150,4157023.5153744756,"₹8,98,40,76,08,095.70",12042232000.277397
0xd68c599a549e8518b2e0dab9cd437c930ac2f12b,152,4133049.2009905465,"₹8,93,22,63,27,219.67",11972782247.397455
0xb0161d9457f9e4ebee1bf700daa0001126158c68,155,4080215.8132402115,"₹8,81,80,80,81,125.85",11819732376.426775
0xc24f574d6853f6f6a31c19d468a8c1b3f31c0e54,156,4077900.503139127,"₹8,81,30,77,00,937.42",11813025293.51355
0x4a90e18f3e90074a820532a3da62b347ea86711b,157,4038306.7704855367,"₹8,72,75,07,82,623.79",11698328585.013323
0xea39c551834d07ee2ee87f1ceff843c308e089af,158,4022022.770724749,"₹8,69,23,15,17,163.49",11651156443.146282
0x78f0269f5b1ca914c8c58993f41181f89e212b27,159,3999340.893344238,"₹8,64,32,95,55,187.77",11585450673.475323
0xf76ebe6341dd9dc880596ee1cccffb4938db14e3,160,3997789.104537261,"₹8,63,99,41,85,694.38",11580955389.58772
0x696ed7b26f4b019ceec78dc8b9140ad64a6f354b,161,3965602.9675029214,"₹8,57,03,81,82,130.80",11487717300.381163
0x4897d38b0974051d8fa34364e37a5993f4a966a5,162,3959457.318948055,"₹8,55,70,99,96,856.42",11469914339.821486
0x7bef8662356116cb436429f47e53322b711f4e42,163,3957114.2238796465,"₹8,55,20,36,11,836.42",11463126768.303516
0x902e77345b7baf9aba47c4febdb210406995a88d,164,3953905.631399119,"₹8,54,51,01,77,246.71",11453831989.262224
0xec7641e298af02c19171451381c570327389b0c2,165,3948945.0851328955,"₹8,53,43,81,13,908.75",11439462080.416378
0x999e77c988c4c1451d3b1c104a6cca7813a9946e,167,3894646.346231115,"₹8,41,70,31,79,054.78",11282167321.616144
0x905f48cbaaaf881dbee913ce040c3b26d3bbc6d9,168,3859277.706104512,"₹8,34,05,93,79,287.89",11179710030.151794
0x3b93cbfb99560ab275827d502c49d57a0e5ec5ce,169,3849926.355876298,"₹8,32,03,83,84,179.27",11152620664.756697
0x1c012b03f1c2dea274d2eeeb566b0eeabfe3af1a,170,3848754.130834686,"₹8,31,78,50,45,247.73",11149224916.367153
0x6fdc859bfad3bc680647c8c58530faa039e1fc03,172,3835163.1882865853,"₹8,28,84,77,97,926.12",11109854130.356112
0x667f565a40b7596358ed338331a206d914f6c9d7,173,3825603.891494975,"₹8,26,78,18,61,822.11",11082162377.038303
0x48c3f2762c9e811bbc2e5dfbe0bb6bd36dec5247,174,3769482.6893601334,"₹8,14,65,30,59,859.13",10919588233.84601
0x5c5e96b31e1a65207369c9d528114b580708e25a,175,3719437.679861914,"₹8,03,83,74,32,496.40",10774615848.531187
0xb5696e4057b9ba76616cecb5a537eaca7b3cdf54,176,3709678.6092863167,"₹8,01,72,83,21,681.74",10746345382.524975
0xe6563194f9baa6e3064086a98bf73608fc17cbfd,178,3672907.91095702,"₹7,93,78,15,11,900.21",10639826552.776733
0x54be3a794282c030b15e43ae2bb182e14c409c5e,179,3666670.41725741,"₹7,92,43,34,77,236.84",10621757531.527956
0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,180,3663441.54189544,"₹7,91,73,56,59,151.36",10612403996.224386
0xe13756351f9cbc45ad6c4da1542faed0ee1a7526,181,3638973.2472395953,"₹7,86,44,76,20,246.93",10541523261.53355
0x2e5e227280b1d5ee28500a9000296c112dc8efc5,182,3636242.450212856,"₹7,85,85,74,45,855.10",10533612579.47461
0x34978faf3a9f469da7248d1365ddf69ac099588c,183,3625817.1518406086,"₹7,83,60,43,51,221.49",10503412158.137949
0x0d93bc9654df5a50e0e65df55d09ba7b47fb95cd,184,3574023.9036833583,"₹7,72,41,08,98,016.24",10353375405.146101
0x9b37bc499de5e675063695211618f3cd64a1b9fc,185,3573473.5469739866,"₹7,72,29,19,56,024.92",10351781109.816124
0x0ed1e02164a2a9fad7a9f9b5b9e71694c3fad7f2,186,3544496.3613740844,"₹7,66,02,94,64,627.44",10267838839.482903
0x160590f7ca4b5734b4001b8ce65b4b24b2c9b3f8,187,3536659.8879314233,"₹7,64,33,58,61,659.96",10245137829.755264
0xedad6b7434acd68ed2814ef961d2164029adb316,188,3528468.1468995353,"₹7,62,56,54,78,971.63",10221407666.66445
0xda5921614a824a6cc187175750b8b3dcb4dbe67d,189,3487663.1200299235,"₹7,53,74,67,78,174.63",10103202032.627483
0x3432b45b9ee95bd5c31a726b936cf2ec719a2153,190,3464605.5748098227,"₹7,48,76,36,27,616.75",10036408013.332087
0x8691fdd1923e99ec8e43df85c4b969205a96338a,191,3435220.17184115,"₹7,42,41,29,13,097.97",9951283202.596317
0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,192,3429958.004793497,"₹7,41,27,56,64,079.96",9936039546.605993
0x231d688aa706ddecb8300f85bee23bf5a9202fef,193,3373358.4996478227,"₹7,29,04,34,92,226.89",9772079836.119799
0x57a1290bb834644cd65dfa7dc257054a502e2893,194,3358295.057558053,"₹7,25,78,80,11,249.33",9728443454.53647
0x3284a7c3c5a20bdd33f28d5c2bcfccc2c2514049,195,3346364.5646371664,"₹7,23,20,96,16,980.26",9693882725.42353
0x6141f8612592505e21d4c920332e69f58e9013cf,196,3325517.4102067174,"₹7,18,70,41,71,659.06",9633491854.583227
0x783ca9833d58a6b39ee72db81f07571d72c0064e,197,3313437.0456379578,"₹7,16,09,33,87,429.18",9598496971.285862
0xfe2f279d3679bac2d07cf46c93503410ef9ca448,198,3301557.0849282998,"₹7,13,52,59,14,080.53",9564082625.903696
0x073ff66ec93c4ddd98edafeaecd677a7ef61f000,199,3298655.367125614,"₹7,12,89,88,00,632.45",9555676813.704165
0xda0da0da0da0a77740bb62c5c9d45423533d0ce2,200,3289742.486999401,"₹7,10,97,25,66,805.34",9529857626.039345
0x04fd71a7c80dee02cec42ca7c6941d0940cbf55f,201,3289521.989713548,"₹7,10,92,49,13,372.91",9529218880.681795
0x01db485f57dc000e761b85641f78c9d212a2eeab,202,3267777.6078207404,"₹7,06,22,55,61,047.00",9466228885.439434
0x336a447b2e382dde1cff3532c8218e1f57757a7d,203,3266124.786560718,"₹7,05,86,83,56,621.93",9461440926.70055
0xff0bd4aa3496739d5667adc10e2b843dfab5712b,204,3263122.249176134,"₹7,05,21,94,54,247.45",9452743056.303392
0xcc46efe392d56c63a8e3cdef633bd546d76d45f0,205,3255118.9969161716,"₹7,03,48,98,07,375.53",9429558915.026644
0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,206,3243929.677883572,"₹7,01,07,15,94,124.84",9397145248.080248
0x2d8d75d4ba64efda74eead05ac6127df4e46efa9,207,3242726.1221986827,"₹7,00,81,14,84,077.34",9393658739.830032
0x2debdf4427ccbcfdbc7f29d63964499a0ec184f6,208,3240976.9324915847,"₹7,00,43,34,52,696.22",9388591617.118923
0x96a6913b41b99e0f20b27148677ccdeebb16ea06,211,3233185.9037951264,"₹6,98,74,96,71,156.40",9366022253.549875
0x65ba4f92d7dfa813ddbd849d9faf38a723dd9b12,212,3185387.4275157293,"₹6,88,41,95,60,059.84",9227557715.524666
0xe9562d66f405bfeb5b40b00733279d9151dcf808,213,3165436.4750154447,"₹6,84,10,78,00,107.39",9169762998.283741
0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,214,3128692.1568897534,"₹6,76,16,66,91,562.70",9063320587.764513
0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,215,3120490.3030192507,"₹6,74,39,41,23,307.91",9039561129.398287
0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,216,3118664.1227015955,"₹6,73,99,94,52,870.02",9034270977.20689
0xe1d29d0a39962a9a8d2a297ebe82e166f8b8ec18,217,3108368.7760842047,"₹6,71,77,44,43,149.77",9004447005.311768
0xe203882039bf2ae11fa04f52e885bde164d17112,218,3105362.6497766753,"₹6,71,12,47,65,144.44",8995738738.379065
0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49,219,3099716.2308130045,"₹6,69,90,44,72,370.84",8979381966.068344
0xf142d7baff0986b50ae24e694419c65e7091f52c,221,3076778.2277699583,"₹6,64,94,71,57,029.19",8912934241.333126
0x43a330dec81bbd5e21f41c6b8354e54d481efc93,221,3076808.0778492084,"₹6,64,95,36,08,168.62",8913020712.236702
0x996e1d4ce3e1e558889832832004b2466153adbe,222,3071976.848357523,"₹6,63,90,94,92,513.33",8899025413.396008
0xda6bf1dc76d4f166472cf329ead6a19d19be72aa,223,3069700.1026784065,"₹6,63,41,74,46,790.65",8892430045.442915
0x1e3685ee600983bac782b182f245efd3bbb26455,225,3049697.854214868,"₹6,59,09,46,00,857.21",8834486732.0038
0xa4c8d9e4ec5f2831701a81389465498b83f9457d,226,3047583.484251492,"₹6,58,63,76,47,449.46",8828361740.519093
0x0820f4612c4f657354ee9b30008ed307a2bceea7,227,3047024.29809848,"₹6,58,51,67,97,256.45",8826741867.7036
0xd049b3064990869c9f73bd7896271d83325d2067,228,3045812.089884819,"₹6,58,25,48,17,241.73",8823230294.461939
0x011c23b3aadaf3d4991f3abee262a34d18e9fdb5,229,3030933.1350387894,"₹6,55,03,92,07,278.31",8780128342.905767
0x231cc1263946ff9438a7d63836f7aa5f4ff7e7b0,230,3028132.512160449,"₹6,54,43,39,42,263.09",8772015386.526875
0xe0268949232a2fb9099f31faca947c12ffb54f89,236,2997884.9251708756,"₹6,47,89,68,94,258.08",8684392966.632
0x75b9a53e647b87c040037e26069a98d4c41fcff2,233,3021964.738641595,"₹6,53,10,09,75,385.74",8754148333.486519
0x485248150969e92b460508b5c8c7e866ed7fae75,234,3016003.4500017557,"₹6,51,81,26,33,607.48",8736879434.103086
0xbb416feca6c36a13e7848eaeab0099d02a3440b4,235,3009592.6966479113,"₹6,50,42,71,54,414.15",8718308507.357536
0x940fec5c4f11fec325b7ee07be152be19b62e276,236,3008302.9270919817,"₹6,50,14,84,11,997.26",8714572251.317137
0xdab34a1b004a687f9b70e8db73b10a0db6a2705f,237,2986227.453791111,"₹6,45,37,75,04,858.43",8650623137.240242
0x04c36d1373b69177f311c2e27fea6ed61a3b84b1,238,2984699.0906547923,"₹6,45,04,71,98,074.13",8646195713.772429
0xf224837e13b1a745574ef68a73427b0063f266f1,240,2978425.0423571216,"₹6,43,69,12,63,304.14",8628020799.701805
0xb4bb4156e5e6ca5d81041f616c27dffb253b7845,241,2977482.79386559,"₹6,43,48,76,26,444.64",8625291256.581596
0x7500935c3c34d0d48e9c388b3dffa0abbda52633,243,2960838.762414406,"₹6,39,89,05,51,655.48",8577076160.512548
0xa2879b11d45e53e6c0a9a3738674a1fd6bbad5c7,244,2960732.2210629024,"₹6,39,86,75,26,151.67",8576767527.263859
0x0743882fa09a0c257b18d53dc1b101d3f32a04e5,245,2955975.992301894,"₹6,38,83,96,19,504.30",8562989493.539819
0x51e9a3dd530bba62f5238562cd60c42d722a40d9,246,2953035.422284288,"₹6,38,20,41,09,393.24",8554471132.690017
0x9e67d018488ad636b538e4158e9e7577f2ecac12,247,2951350.2651242083,"₹6,37,83,99,16,598.11",8549589502.022412
0x718a085f6d45a955395881bceff30ec97ffb1013,248,2948528.988460796,"₹6,37,23,01,87,928.17",8541416714.932773
0x05a8f64ffc9f1a2998940d2a16c6e2eea4a97bbd,249,2947637.5107839378,"₹6,37,03,75,23,555.60",8538834246.739343
0x4655b5df7cc14cbeb42ef2f5463ad63045517706,250,2945641.823783962,"₹6,36,60,62,19,672.54",8533053060.810333
0x2f8256b67828031c61af789124f2c4f642461de0,251,2908134.446197994,"₹6,28,50,02,00,243.42",8424400189.124198
0x3e5bde633de8134bcd38365085a7e975228da588,252,2907771.981068616,"₹6,28,42,18,65,004.59",8423350185.638809
0x863c9aade08c7e024a4c7a2884c6024711ccb11a,253,2899237.917501685,"₹6,26,57,75,00,254.63",8398628368.935582
0xc15753ae3b6099b8a3366b836433d6542645b876,254,2896590.896543381,"₹6,26,00,54,31,379.16",8390960372.742727
0xafc91325fb4a1092cda5c7d40e2919f48c70ec87,255,2891705.4071614053,"₹6,24,94,95,89,184.91",8376807891.681446
0x12f37431468eb75c2a825e2cf8fde773ad94c8ea,255,2890033.847553025,"₹6,24,58,83,35,065.46",8371965650.945505
0x8888888888e9997e64793849389a8faf5e8e547c,257,2873778.0731761493,"₹6,21,07,51,69,618.68",8324875273.499597
0x07cc65ec4de72fdf7d2b6c39fd80c4ea4706215b,259,2857390.5376850255,"₹6,17,53,35,28,223.41",8277403205.1874895
0x2337918436302b406c9d0b775366184799d1df88,259,2850776.792711826,"₹6,16,10,41,78,887.29",8258244244.1993265
0xef5c8dfb7abaa3acd759d77fb156cea315eb69b8,261,2849297.8621822307,"₹6,15,78,45,55,379.10",8253960019.083974
